episode,steps,x,y,yaw,steer,throttle,action,reward,done,on_track,progress,closest_waypoint,track_len,timestamp,iteration
0,0,305.0,68.32000000000001,0.0004,0.0,0.0,0,1.0,False,True,0.7921,0,17.67,1570766782.9028797,1
0,1,305.0,68.32000000000001,0.0004,-0.52,2.67,0,1.0,False,True,0.7921,0,17.67,1570766782.9699185,1
0,0,305.0,68.32000000000001,0.0004,0.0,0.0,0,1.0,False,True,0.7922,0,17.67,1570766793.6457598,1
0,1,305.01,68.33,0.0008,-0.26,8.0,5,1.0,False,True,0.7931,0,17.67,1570766793.954452,1
0,2,305.16,68.33,0.0012,-0.26,8.0,5,1.0,False,True,0.8012,0,17.67,1570766793.9810436,1
0,3,306.48,68.27,-0.003,-0.26,8.0,5,1.0,False,True,0.8762,0,17.67,1570766794.0467603,1
0,4,308.83,68.11,-0.0124,-0.26,8.0,5,1.0,False,True,1.0087,0,17.67,1570766794.1112683,1
0,5,312.45,67.86,-0.0244,0.26,2.67,9,1.0,False,True,1.2136,1,17.67,1570766794.1804454,1
0,6,317.4,67.47999999999999,-0.0404,0.26,2.67,9,1.0,False,True,1.4939,1,17.67,1570766794.2474377,1
0,7,322.90999999999997,67.04,-0.0528,0.0,5.33,7,1.0,False,True,1.8057,1,17.67,1570766794.312245,1
0,8,329.06,66.53999999999999,-0.0655,0.52,2.67,12,1.0,False,True,2.1538,1,17.67,1570766794.3796222,1
0,9,334.79,66.08000000000001,-0.0703,0.26,2.67,9,1.0,False,True,2.4781,1,17.67,1570766794.4469774,1
0,10,340.07,65.56,-0.0796,0.52,2.67,12,1.0,False,True,2.777,2,17.67,1570766794.5120103,1
0,11,345.77,65.11,-0.0787,0.52,2.67,12,1.0,False,True,3.0993,2,17.67,1570766794.581454,1
0,12,351.11,64.94,-0.064,0.52,2.67,12,1.0,False,True,3.4015,2,17.67,1570766794.6470892,1
0,13,356.53000000000003,65.09,-0.0352,0.52,2.67,12,1.0,False,True,3.7083,3,17.67,1570766794.714025,1
0,14,362.24,65.57,0.0049,0.0,5.33,7,1.0,False,True,4.0312,3,17.67,1570766794.7809217,1
0,15,368.46999999999997,66.28,0.0427,0.26,2.67,9,1.0,False,True,4.3839,3,17.67,1570766794.8473985,1
0,16,374.42,67.15,0.0784,-0.52,5.33,1,1.0,False,True,4.7206,3,17.67,1570766794.9143472,1
0,17,381.08,68.14,0.1058,0.26,2.67,9,1.0,False,True,5.0975,3,17.67,1570766794.9805768,1
0,18,387.89,69.37,0.1338,-0.52,5.33,1,1.0,False,True,5.4829,3,17.67,1570766795.0477638,1
0,19,395.14,70.64,0.1504,0.26,2.67,9,1.0,False,True,5.8929,4,17.67,1570766795.1147003,1
0,20,402.20000000000005,71.93,0.1626,-0.52,8.0,2,1.0,False,True,6.2928,4,17.67,1570766795.1798437,1
0,21,411.09999999999997,73.22999999999999,0.153,-0.52,8.0,2,1.0,False,True,6.7962,4,17.67,1570766795.2488604,1
0,22,420.22,74.2,0.1243,0.26,2.67,9,1.0,False,True,7.3122,4,17.67,1570766795.3130207,1
0,23,429.23999999999995,74.87,0.098,-0.52,8.0,2,0.5,False,True,7.823,4,17.67,1570766795.380941,1
0,24,439.02,75.06,0.0499,0.26,2.67,9,0.5,False,True,8.3765,5,17.67,1570766795.4481099,1
0,25,447.44,75.16000000000001,0.0276,0.26,2.67,9,0.5,False,True,8.8526,5,17.67,1570766795.5128179,1
0,26,454.77,75.33,0.0253,0.26,2.67,9,0.5,False,True,9.2676,6,17.67,1570766795.5799868,1
0,27,461.31,75.58,0.0308,0.26,2.67,9,0.5,False,True,9.6374,6,17.67,1570766795.648235,1
0,28,466.98,75.97,0.0426,0.26,2.67,9,0.5,False,True,9.9586,6,17.67,1570766795.7140148,1
0,29,472.40999999999997,76.49000000000001,0.0597,0.26,2.67,9,0.5,False,True,10.2658,6,17.67,1570766795.7803454,1
0,30,477.90999999999997,77.21000000000001,0.0781,0.26,2.67,9,0.5,False,True,10.5768,6,17.67,1570766795.8482358,1
0,31,483.42,77.97,0.0975,-0.26,5.33,4,0.5,False,True,10.8887,6,17.67,1570766795.912731,1
0,32,490.78999999999996,78.91,0.1091,-0.26,8.0,5,0.5,False,True,11.306,6,17.67,1570766795.980175,1
0,33,499.57000000000005,79.80000000000001,0.105,-0.26,8.0,5,0.5,False,True,11.8027,7,17.67,1570766796.048357,1
0,34,509.70000000000005,80.7,0.0968,0.0,8.0,8,0.5,False,True,12.3758,7,17.67,1570766796.114775,1
0,35,520.77,81.45,0.0789,-0.52,2.67,0,0.5,False,True,13.0026,7,17.67,1570766796.180943,1
0,36,531.09,81.47999999999999,0.0388,0.0,8.0,8,0.5,False,True,13.5864,7,17.67,1570766796.2479537,1
0,37,542.5600000000001,81.28,0.0061,0.0,8.0,8,0.5,False,True,14.2352,8,17.67,1570766796.314323,1
0,38,554.96,81.07,-0.0152,0.52,5.33,13,0.5,False,True,14.9371,8,17.67,1570766796.3820524,1
0,39,566.62,81.42,0.0117,0.52,5.33,13,0.5,False,True,15.597,9,17.67,1570766796.4477558,1
0,40,577.49,82.53,0.0631,0.52,5.33,13,0.5,False,True,16.2123,9,17.67,1570766796.5139797,1
0,41,588.7800000000001,84.42,0.1226,0.0,8.0,8,0.1,False,True,16.8645,9,17.67,1570766796.5814238,1
0,42,601.21,86.82,0.1618,-0.52,8.0,2,0.1,False,True,17.5701,9,17.67,1570766796.6475124,1
